,semantic,contextual
0,abdmental01/heart-disease-dataset,asaniczka/video-game-sales-2024
1,asgharalikhan/mortality-rate-heart-patient-pakistan-hospital,mexwell/telegram-spam-or-ham
2,thedevastator/exploring-risk-factors-for-cardiovascular-diseas,/sustainable-development-goals
3,diegobabativa/depression,andrewmvd/ship-detection
4,andrewmvd/divorce-prediction,andrewmvd/leukemia-classification
5,rabieelkharoua/split-or-stay-divorce-predictor-dataset,andrewmvd/car-plate-detection
6,thedevastator/predicting-heart-disease-risk-using-clinical-var,andrewmvd/data-scientist-jobs
7,andrewmvd/okcupid-profiles,andrewmvd/retinal-disease-classification
8,rabieelkharoua/predict-online-dating-matches-dataset,andrewmvd/us-schools-dataset
9,andrewmvd/heart-failure-clinical-data,andrewmvd/divorce-prediction
