,semantic,contextual
0,jocelyndumlao/tourist-chatbot-for-hill-track-areas-bangladesh,karunyaronith/cricket-world-cup-data-synthetic
1,thedevastator/nlp-mental-health-conversations,shamstabrezkhan/happy-and-sad-images-dataset-for-cnn
2,thedevastator/medical-conversation-corpus-100k,wwwwwee/dehaze
3,itachi9604/disease-symptom-description-dataset,kkhandekar/calories-in-food-items-per-100-grams
4,fariskar/pregnancy-dataset,fariskar/pregnancy-dataset
5,elvis23/mental-health-conversational-data,karthickveerakumar/spam-filter
6,tusharpaul2001/university-chatbot-dataset,elvis23/mental-health-conversational-data
7,niraliivaghani/chatbot-dataset,ddosad/customer-behaviour-tourism-portal
8,bitext/training-dataset-for-chatbotsvirtual-assistants,zeesolver/dark-web
9,hassanamin/atis-airlinetravelinformationsystem,yousefsaeedian/awesome-chatgpt-prompts
