,semantic,contextual
0,amanbarthwal/imdb-movies-data,yutanakamura/glove42b300dtxt
1,ahsanaseer/top-rated-tmdb-movies-10k,armanmanteghi/interactive-web-based-calculator-application
2,rajugc/imdb-top-250-movies-dataset,shariful07/nice-work-thanks-for-share
3,adriankiezun/imdb-dataset-2023,snehangsude/audible-dataset
4,disham993/9000-movies-dataset,yashvi/reliancestockandnewsdata
5,anandshaw2001/movie-rating-dataset,d4rklucif3r/cat-and-dogs
6,ursmaheshj/top-10000-popular-movies-tmdb-05-2023,isakatsuyoshi/llm-20-questions-wikipedia-context
7,shubhamchandra235/imdb-and-tmdb-movie-metadata-big-dataset-1m,shaz13/real-world-documents-collections
8,utkarshx27/movies-dataset,anandshaw2001/movie-rating-dataset
9,prishasawhney/imdb-dataset-top-2000-movies,nezahatkk/10-000-english-words-cerf-labelled
