,semantic,contextual
0,thedevastator/online-retail-sales-and-customer-data,suneelpatel/bank-customer-data-for-credit-card-lead-prediction
1,shashanks1202/retail-transactions-online-sales-dataset,seshadrikolluri/ansur-ii
2,gabrielramos87/an-online-shop-business,gabrielsantello/advertisement-click-on-ad
3,tunguz/online-retail,piyushagni5/white-wine-quality
4,thedevastator/online-retail-transaction-data,/course-study
5,jihyeseo/online-retail-data-set-from-uci-ml-repo,ddosad/customer-behaviour-tourism-portal
6,ilkeryildiz/online-retail-listing,ashishraut64/global-methane-emissions
7,lakshmi25npathi/online-retail-dataset,tanshihjen/malaysia-property-for-sale
8,mathchi/online-retail-ii-data-set-from-ml-repository,lakshmi25npathi/online-retail-dataset
9,mashlyn/online-retail-ii-uci,tunguz/online-retail
