,semantic,contextual
0,willianoliveiragibin/upi-payment,prasy46/credit-score-prediction
1,harunrai/digital-wallet-transactions,iabhishekofficial/creditcard-fraud-detection
2,nelgiriyewithana/credit-card-fraud-detection-dataset-2023,nelgiriyewithana/credit-card-fraud-detection-dataset-2023
3,vagifa/ethereum-frauddetection-dataset,alyeasin/predict-pizza-price
4,berkanoztas/synthetic-transaction-monitoring-dataset-aml,vbookshelf/pneumothorax-chest-xray-images-and-masks
5,sriharshaeedala/financial-fraud-detection-dataset,rpjinu/titanic-survival-dataset
6,faizaniftikharjanjua/metaverse-financial-transactions-dataset,pigment/big-sales-data
7,shriyashjagtap/fraudulent-e-commerce-transactions,faizaniftikharjanjua/metaverse-financial-transactions-dataset
8,rohit265/fraud-detection-dynamics-financial-transaction,shayannaveed/credit-card-fraud-detection
9,mdhossanr/financial-transactions-dataset-for-analysis,devildyno/indian-bank-statement-one-year
