,semantic,contextual
0,tahmidmir/pumpkin-leaf-diseases-dataset-from-bangladesh,muhammadroshaanriaz/cancer-dataset-risk-of-developing-or-dying
1,mohitsingh1804/plantvillage,ashishraut64/global-methane-emissions
2,kpoviesistphane/tomato-leaf-disease-detection,shivamb/machine-predictive-maintenance-classification
3,wisam1985/advanced-iot-agriculture-2024,chitholian/annotated-potholes-dataset
4,nirmalsankalana/potato-leaf-disease-dataset,miguelh65/tomato-plant-disease-dataset
5,sebastianpalaciob/tomato-leaf-diseases-dataset-for-object-detection,mrsimple07/energy-consumption-prediction
6,ashishmotwani/tomato,tunguz/drug-use-by-age
7,smaranjitghose/corn-or-maize-leaf-disease-dataset,atifmasih/climate-change-dataset2020-2024
8,farukalam/tomato-leaf-diseases-detection-computer-vision,zeesolver/uhygtttt
9,miguelh65/tomato-plant-disease-dataset,chaozhuang/steel-fatigue-strength-prediction
