,semantic,contextual
0,datazng/telecom-company-churn-rate-call-center-data,praveenchoudhary1217/electric-vehicle-sales-in-india
1,vishakhdapat/customer-segmentation-clustering,/how-isis-uses-twitter
2,ankumagawa/dataset-superstore-20152018,yudhaislamisulistya/plants-type-datasets
3,anuvagoyal/sales-store-product-details,tushar5harma/plant-village-dataset-updated
4,bashiralam1709/e-commerce-project-marketing-analytics,jacopoferretti/superstore-dataset
5,saadharoon27/superstore-dataset,kyanyoga/sample-sales-data
6,imakash3011/customer-personality-analysis,petewojtczak/raw-transactional-data
7,mervemenekse/ecommerce-dataset,gabrielramos87/an-online-shop-business
8,jacopoferretti/superstore-dataset,fekihmea/fashion-retail-sales
9,michaeldsouza16/dataset-for-exploratory-analysis,divyeshardeshana/supply-chain-shipment-pricing-data
