,semantic,contextual
0,fedesoriano/air-quality-data-in-india,miguelh65/tomato-plant-disease-dataset
1,azminetoushikwasi/aqi-air-quality-index-scheduled-daily-update,calebreigada/south-korean-pollution
2,guslovesmath/us-pollution-data-200-to-2022,malihachaity/heuristic-model
3,seshupavan/air-pollution-data-of-india-2020-2023,mayukh18/deap-deciphering-environmental-air-pollution
4,threnjen/40-years-of-air-quality-index-from-the-epa-daily,ahmeterdemyenay/my1995-2023-fuel-consumption-ratings
5,waqi786/global-air-quality-dataset,loveall/appliances-energy-prediction
6,sogun3/uspollution,mrsimple07/energy-consumption-prediction
7,mayukh18/deap-deciphering-environmental-air-pollution,kafkarps/five-years-weather-data-of-kolkata
8,rupakroy/lstm-datasets-multivariate-univariate,rupakroy/lstm-datasets-multivariate-univariate
9,hasibalmuzdadid/global-air-pollution-dataset,abbabiavati/bcorp-vs-non-b-corps-employee-reviews
