,semantic,contextual
0,jbuchner/synthetic-speech-commands-dataset,rohanrao/xeno-canto-bird-recordings-extended-a-m
1,ejlok1/surrey-audiovisual-expressed-emotion-savee,nezahatkk/10-000-english-words-cerf-labelled
2,suso172/arabic-natural-audio-dataset,deepshah16/song-lyrics-dataset
3,mrgabrielblins/speaker-recognition-cmu-arctic,albenft/game-of-thrones-script-all-seasons
4,/common-voice,pratt3000/vctk-corpus
5,mfekadu/english-multispeaker-corpus-for-voice-cloning,shawkygamal/mnist-images
6,pratt3000/vctk-corpus,yapwh1208/supermarket-sales-data
7,rtatman/speech-accent-archive,mfekadu/english-multispeaker-corpus-for-voice-cloning
8,mfekadu/darpa-timit-acousticphonetic-continuous-speech,ramiromelo/10000-words
9,mohammedabdeldayem/the-fake-or-real-dataset,prashant111/the-simpsons-dataset
