,semantic,contextual
0,carlmcbrideellis/tertiary-mushroom-1-million-more-mushrooms,mitangshu11/brain-stroke-mri-images
1,blade007/prediction-of-poisonous-mushrooms-cleaned,atulyakumar98/pothole-detection-dataset
2,sakurapuare/mushroom-classification-enhanced,vijaygiitk/multiclass-weather-dataset
3,marcosvolpato/edible-and-poisonous-fungi,yash612/stockmarket-sentiment-dataset
4,willianoliveiragibin/mushroom-nexus,msambare/fer2013
5,shrutisaxena/secondary-mushroom-dataset-data-set,odedgolden/movielens-1m-dataset
6,joebeachcapital/secondary-mushroom-dataset,himanshunakrani/iris-dataset
7,prishasawhney/mushroom-dataset,shrutisaxena/secondary-mushroom-dataset-data-set
8,daniilonishchenko/mushrooms-images-classification-215,fakhrealam9537/leaf-disease-segmentation-dataset
9,/mushroom-classification,sharansmenon/div2k
