,semantic,contextual
0,evangower/fifa-world-cup,ryanholbrook/dl-course-data
1,die9origephit/fifa-world-cup-2022-complete-dataset,karlorusovan/league-of-legends-soloq-matches-at-10-minutes-2024
2,brenda89/fifa-world-cup-2022,harsha547/ipldatabase
3,abhijitdahatonde/fifa-world-cup-all-dataset,xhlulu/efficientnet-keras-source-code
4,piterfm/fifa-football-world-cup,jessicali9530/kuc-hackathon-winter-2018
5,hugomathien/soccer,carlmcbrideellis/tertiary-mushroom-1-million-more-mushrooms
6,prateekchauhands/football-data-top-5-european-leagues,omartorres25/honda-data
7,sonialikhan/international-football-results-from-1872-to-2024,isakatsuyoshi/llm-20-questions-overall-rankings-vs-scores
8,martj42/international-football-results-from-1872-to-2017,austro/beat-the-bookie-worldwide-football-dataset
9,patateriedata/all-international-football-results,sonialikhan/international-football-results-from-1872-to-2024
