,semantic,contextual
0,garymk/movielens-25m-dataset,hudsonstuck/stockx-data-contest
1,promptcloud/jobs-on-naukricom,greg115/celebrities-100k
2,arbazkhan971/allskillandnonskill,/us-consumer-finance-complaints
3,promptcloud/indeed-job-posting-dataset,hereisburak/pins-face-recognition
4,jtrofe/beer-recipes,noob2511/wine-data-set
5,nickhould/craft-cans,hrdkcodes/wine-data
6,pankeshpatel/hiring,praveenchoudhary1217/electric-vehicle-sales-in-india
7,rdoume/beerreviews,sgus1318/winedata
8,thedevastator/1-5-million-beer-reviews-from-beer-advocate,rdoume/beerreviews
9,maitree/wine-quality-selection,atharvjairath/flipkart-ecommerce-dataset
