,semantic,contextual
0,matinmahmoudi/reservations-and-reasons,jacksondivakarr/laptop-price-prediction-dataset
1,pkdarabi/classification-of-travel-purpose,kiranbudati/mobile-prices-flipkart
2,dhruvildave/new-york-city-taxi-trips-2019,fazilbtopal/auto85
3,kalacheva/london-bike-share-usage-dataset,bizzyvinci/coinmarketcap-historical-data
4,microize/newyork-yellow-taxi-trip-data-2020-2019,moazeldsokyx/plantvillage
5,vishaldeoprasad/bangalore-rapido-ride-services-dataset,praveenchoudhary1217/electric-vehicle-sales-in-india
6,saurabhbadole/zomato-delivery-operations-analytics-dataset,ashishraut64/global-methane-emissions
7,abdmental01/taxis-dataset-yellow-taxi,miguelh65/tomato-plant-disease-dataset
8,abuchionwuegbusi/green-taxi-trip-data,brahimettanany/walking-data-set-steps-distance-and-duration
9,arnavsmayan/urban-mobility-dataset,vishaldeoprasad/bangalore-rapido-ride-services-dataset
