,semantic,contextual
0,thebumpkin/600-billboard-hot-100-tracks-with-spotify-data,thebumpkin/elo-studio-tracks-with-spotify-data
1,thebumpkin/green-day-studio-tracks-wtih-spotify-data,thebumpkin/nazareth-studio-tracks-with-spotify-data
2,thebumpkin/500-folk-tracks-with-spotify-data,lehaknarnauli/spotify-datasets
3,thebumpkin/nitty-gritty-dirt-band-tracks-w-spotify-data,thebumpkin/pink-floyd-all-the-tracks-with-spotify-data
4,thebumpkin/700-classic-rap-tracks-with-spotify-data,thebumpkin/700-classic-blues-tracks-with-spotify-data
5,thebumpkin/ska-tracks-with-spotify-data,thebumpkin/moody-blues-album-tracks-with-spotify-data
6,thebumpkin/400-reggae-tracks-with-spotify-data,nadintamer/top-spotify-tracks-of-2018
7,thebumpkin/350-funk-tracks-with-spotify-data,thebumpkin/ska-tracks-with-spotify-data
8,thebumpkin/10400-classic-hits-10-genres-1923-to-2023,thedevastator/spotify-tracks-genre-dataset
9,thebumpkin/300-world-music-tracks-with-spotify-data,thebumpkin/500-folk-tracks-with-spotify-data
