,semantic,contextual
0,chetanism/foursquare-nyc-and-tokyo-checkin-dataset,jonasalmeida/2015-deidentified-ny-inpatient-discharge-sparcs
1,saurabhbadole/motor-vehicle-collisions-crashes-in-nyc,devbhise/covid-19-diagnostic-laboratory-testing
2,microize/newyork-yellow-taxi-trip-data-2020-2019,saurabhbadole/housing-price-data
3,/ny-2010-2016-school-safety-report,tush32/motor-vehicle-collisions-crashes
4,/nyc-east-river-bicycle-crossings,dansbecker/new-york-city-taxi-fare-prediction
5,/forest-cover-type-dataset,jimschacko/airlines-dataset-to-predict-a-delay
6,/nyc-parking-tickets,sahityasetu/new-york-city-air-quality
7,muonneutrino/new-york-city-census-data,/tree-census
8,/nyc-property-sales,koki25ando/hostel-world-dataset
9,/tree-census,myrios/cost-of-living-index-by-country-by-number-2024
