,semantic,contextual
0,thebumpkin/eurythmics-studio-tracks-with-spotify-data,thebumpkin/700-classic-blues-tracks-with-spotify-data
1,thebumpkin/the-doobie-brothers-studio-tracks-spotify-data,lehaknarnauli/spotify-datasets
2,thebumpkin/38-special-studio-tracks-with-spotify-data,thebumpkin/ska-tracks-with-spotify-data
3,thebumpkin/the-alan-parsons-project-studio-tracks-spotify,thebumpkin/362-elton-john-album-tracks-with-spotify-data
4,thebumpkin/duran-duran-studio-tracks-with-spotify-data,nadintamer/top-spotify-tracks-of-2018
5,thebumpkin/aerosmith-album-tracks-with-spotify-data,thebumpkin/moody-blues-album-tracks-with-spotify-data
6,thebumpkin/nitty-gritty-dirt-band-tracks-w-spotify-data,thebumpkin/abba-studio-tracks-with-spotify-data
7,thebumpkin/elo-studio-tracks-with-spotify-data,thebumpkin/nazareth-studio-tracks-with-spotify-data
8,thebumpkin/emerson-lake-and-palmer-studio-tracks-spotify-data,thebumpkin/elo-studio-tracks-with-spotify-data
9,thebumpkin/bad-company-studio-tracks-with-spotify-data,thebumpkin/journey-album-tracks-with-spotify-data
