,semantic,contextual
0,kreeshrajani/used-car-price-dataset,thedevastator/adidas-fashion-retail-products-dataset-9300-prod
1,sukhmandeepsinghbrar/car-price-prediction-dataset,doaaalsenani/usa-cers-dataset
2,gorororororo23/armenian-market-cars-prediction,yaminh/smartphone-sale-dataset
3,manishkr1754/cardekho-used-car-data,volpatto/coffee-quality-database-from-cqi
4,andreinovikov/used-cars-dataset,duygujones/autoscout24-car-sales2019
5,adhurimquku/ford-car-price-prediction,manishkr1754/cardekho-used-car-data
6,bhavikjikadara/car-price-prediction-dataset,mbsoroush/cara-price-dataset
7,shubham1kumar/usedcar-data,akshaydattatraykhare/car-details-dataset
8,akshaydattatraykhare/car-details-dataset,bhavikjikadara/car-price-prediction-dataset
9,zahrayazdani81/carsdataset,peshimaammuzammil/2023-car-model-dataset-all-data-you-need
