,semantic,contextual
0,/hong-kong-horse-racing,blackmoon/russian-language-toxic-comments
1,wcukierski/2016-march-ml-mania,ryanholbrook/dl-course-data
2,secareanualin/football-events,isakatsuyoshi/llm-20-questions-overall-rankings-vs-scores
3,austro/beat-the-bookie-worldwide-football-dataset,stefanoleone992/ea-sports-fc-24-complete-player-dataset
4,jordangoblet/atp-tour-20002016,arkadiuszkaros/soccer-data-of-teams-players-and-shots-2018-2023
5,saife245/english-premier-league,austro/beat-the-bookie-worldwide-football-dataset
6,ajaxianazarenka/premier-league,jessicali9530/kuc-hackathon-winter-2018
7,sashchernuh/european-football,sonialikhan/international-football-results-from-1872-to-2024
8,hugomathien/soccer,karlorusovan/league-of-legends-soloq-matches-at-10-minutes-2024
9,tobycrabtree/nfl-scores-and-betting-data,zubairmustafa/shopping-mall-customer-segmentation-data
