,semantic,contextual
0,divyanshusingh369/complete-pokemon-library-32k-images-and-csv,atulyakumar98/pothole-detection-dataset
1,jaidalmotra/pokemon-dataset,susanta21/student-attitude-and-behavior
2,alopez247/pokemon,odedgolden/movielens-1m-dataset
3,shreyasur965/pokemon-go,msambare/fer2013
4,willianoliveiragibin/pokmon-base,trainingdatapro/printout
5,rounakbanik/pokemon,vijaygiitk/multiclass-weather-dataset
6,maca11/all-pokemon-dataset,maca11/all-pokemon-dataset
7,crinklybrain2003/pokmon-base-stats-dataset,nicolsalayoarias/all-kpop-idols
8,evilspirit05/pokmon-dataset-for-analysis,cdeotte/melanoma-128x128
9,jewelzufo/pokemon-data,crinklybrain2003/pokmon-base-stats-dataset
