,semantic,contextual
0,sohaibanwaar1203/prepossessed-arrays-of-binary-data,sovitrath/leaf-disease-segmentation-with-trainvalid-split
1,deathtrooper/glaucoma-dataset-eyepacs-airogs-light-v2,muhammadroshaanriaz/cancer-dataset-risk-of-developing-or-dying
2,ascanipek/eyepacs-aptos-messidor-diabetic-retinopathy,hassan06/nslkdd
3,benjaminwarner/resized-2015-2019-blindness-detection-images,zeesolver/uhygtttt
4,deathtrooper/eyepacs-airogs-light,miguelh65/tomato-plant-disease-dataset
5,hugolemonnier/diabetic-retinopathy-train-cropped-and-resized,sazidthe1/global-unemployment-data
6,sovitrath/diabetic-retinopathy-224x224-2019-data,ascanipek/eyepacs-aptos-messidor-diabetic-retinopathy
7,sovitrath/diabetic-retinopathy-2015-data-colored-resized,vivovinco/league-of-legends-champion-stats
8,c7934597/resized-2015-2019-diabetic-retinopathy-detection,moazeldsokyx/plantvillage
9,sovitrath/diabetic-retinopathy-224x224-gaussian-filtered,asdasdasasdas/garbage-classification
