,semantic,contextual
0,luiscorter/netflix-original-films-imdb-scores,thebumpkin/journey-album-tracks-with-spotify-data
1,ariyoomotade/netflix-data-cleaning-analysis-and-visualization,williamschooleman/scoobydoo-complete
2,shivamb/netflix-shows,gufukuro/movie-scripts-corpus
3,abdulszz/netflix-data,victorsoeiro/amazon-prime-tv-shows-and-movies
4,satpreetmakhija/netflix-movies-and-tv-shows-2021,thebumpkin/2000s-classic-movies-with-tmdb-data
5,thedevastator/the-ultimate-netflix-tv-shows-and-movies-dataset,thedevastator/netflix-imdb-scores
6,victorsoeiro/netflix-tv-shows-and-movies,danghuutri/netflix-movies
7,rahulvyasm/netflix-movies-and-tv-shows,swatikhedekar/exploratory-data-analysis-on-netflix-data
8,thedevastator/netflix-imdb-scores,atulanandjha/imdb-50k-movie-reviews-test-your-bert
9,victorsoeiro/amazon-prime-tv-shows-and-movies,omarhanyy/imdb-top-1000
