,semantic,contextual
0,maitree/wine-quality-selection,taranmarley/sptire
1,danielpanizzo/wine-quality,devdgohil/the-oxfordiiit-pet-dataset
2,brynja/wineuci,andradaolteanu/rickmorty-scripts
3,zynicide/wine-reviews,petewojtczak/raw-transactional-data
4,ruthgn/wine-quality-data-set-red-white-wine,hrdkcodes/wine-data
5,budnyak/wine-rating-and-price,sgus1318/winedata
6,/red-wine-quality-cortez-et-al-2009,anirudhg15/mammals-classification
7,piyushagni5/white-wine-quality,zynicide/wine-reviews
8,yasserh/wine-quality-dataset,noob2511/wine-data-set
9,piyushgoyal443/red-wine-dataset,piyushagni5/white-wine-quality
