,semantic,contextual
0,cagrigungor/ataturkun-szleri,zanjibar/100-million-data-csv
1,abdallahwagih/english-spanish-dictionary,faldoae/padangfood
2,khushihpandya/gujarati-letters-in-sign-language,/city-lines
3,ishivinal/contractions,karthickveerakumar/spam-filter
4,nilaychauhan/world-bank-datasets,wwwwwee/dehaze
5,busielmorley/worldcities-pop-lang-rank-sql-create-tbls,dataanalyst001/population-top-800-major-cities-in-the-world-2024
6,nikitagrec/world-capitals-gps,tunguz/200000-jeopardy-questions
7,victorling/librispeech-clean,nicolsalayoarias/all-kpop-idols
8,batrosjamali/most-spoken-languages-worldwide-in-millions,rushikeshdarge/constitution-of-india
9,andytran11996/cost-of-living,batrosjamali/most-spoken-languages-worldwide-in-millions
