,semantic,contextual
0,manusmitajha/countrydatacsv,luizpaulodeoliveira/imdb-project-sql
1,nameeerafatima/diamondscsv,samuelsamsudinng/iemocap-emotion-speech-database
2,mariospirito/position-salariescsv,maxjeblick/bert-pretrained-models
3,aariyan101/usa-housingcsv,ahmedtronic/german-credit
4,ravitejakotharu/salary-datacsv,armanmanteghi/capitals-of-the-world-multiple-choice-quiz
5,devchauhan1/market-basket-optimisationcsv,saurabhshahane/road-traffic-accidents
6,suranjan2002/spam1csv,yutanakamura/glove42b300dtxt
7,pankajvermacool/titanic-traincsv,devchauhan1/market-basket-optimisationcsv
8,devchauhan1/salary-datacsv,armanmanteghi/interactive-web-based-calculator-application
9,aakash50897/churn-modellingcsv,nezahatkk/10-000-english-words-cerf-labelled
