,semantic,contextual
0,edsonmarin/historic-sales-of-electric-vehicles,abdelrahmanalimo/saudi-arabian-stock-market-data
1,yashusinghal/electric-vehicle-population-dataset,wjybuqi/traffic-light-detection-dataset
2,willianoliveiragibin/electric-vehicle-population,nelgiriyewithana/credit-card-fraud-detection-dataset-2023
3,patricklford/global-ev-sales-2010-2024,aadarshvelu/liver-cirrhosis-stage-classification
4,srinrealyf/india-ev-market-data,marlesson/news-of-the-site-folhauol
5,utkarshx27/electric-vehicle-population-data,seshadrikolluri/ansur-ii
6,/cardataset,kkhandekar/cheapest-electric-cars
7,geoffnel/evs-one-electric-vehicle-dataset,sazidthe1/global-unemployment-data
8,kkhandekar/electric-vehicles-india,chrico03/art-garfunkels-library
9,kkhandekar/cheapest-electric-cars,joebeachcapital/qs-world-university-rankings-2024
