,semantic,contextual
0,joebeachcapital/students-performance,jazidesigns/financial-accounting
1,mexwell/student-scores,snmahsa/human-images-dataset-men-and-women
2,atifmasih/factors-affecting-university-student-grades,/student-alcohol-consumption
3,whenamancodes/students-performance-in-exams,atifmasih/factors-affecting-university-student-grades
4,lainguyn123/student-performance-factors,spscientist/students-performance-in-exams
5,silasonugha/students-performance,mdmahmudulhasansuzan/students-adaptability-level-in-online-education
6,desalegngeb/students-exam-scores,prajwalkanade/student-performance-prediction-dataset
7,bhavikjikadara/student-study-performance,naveenkumar20bps1137/predict-students-dropout-and-academic-success
8,spscientist/students-performance-in-exams,brarajit18/student-feedback-dataset
9,rkiattisak/student-performance-in-mathematics,devildyno/computer-science-students-career-prediction
