,semantic,contextual
0,lakshmikalyan/lead-scoring-x-online-education,petewojtczak/raw-transactional-data
1,zubairmustafa/shopping-mall-customer-segmentation-data,ayushggarg/covid19-vaccine-adverse-reactions
2,akashdeepkuila/bakery,prakashraushan/loan-dataset
3,samuelsemaya/e-commerce-customer-churn,praveengovi/credit-risk-classification-dataset
4,hassanamin/customer-churn,alexsandrorolim/e-commerce
5,hunter0007/ecommerce-dataset-for-predictive-marketing-2023,wwwwwee/dehaze
6,retailrocket/ecommerce-dataset,karthickveerakumar/spam-filter
7,benpowis/customer-propensity-to-purchase-data,fariskar/pregnancy-dataset
8,imakash3011/online-shoppers-purchasing-intention-dataset,benpowis/customer-propensity-to-purchase-data
9,mervemenekse/ecommerce-dataset,michau96/restaurant-business-rankings-2020
