,semantic,contextual
0,dionisiusdh/imdb-indonesian-movies,victorsoeiro/amazon-prime-tv-shows-and-movies
1,chancholkumarmodok/tdmb-top-rated-movies,thebumpkin/2010s-movies-with-tmdb-data
2,darshan1504/imdb-movie-reviews-2021,luisfredgs/imdb-ptbr
3,omarhanyy/imdb-top-1000,danghuutri/netflix-movies
4,spypsc07/imdb-top-100till2023,abdallahwagih/imdb-movie-reviews
5,stefanoleone992/filmtv-movies-dataset,vulamnguyen/rwf2000
6,narayan63/netflix-popular-movies-dataset,omarhanyy/imdb-top-1000
7,rajugc/imdb-top-250-movies-dataset,thedevastator/netflix-imdb-scores
8,ursmaheshj/top-10000-popular-movies-tmdb-05-2023,gufukuro/movie-scripts-corpus
9,adriankiezun/imdb-dataset-2023,atulanandjha/imdb-50k-movie-reviews-test-your-bert
