,semantic,contextual
0,pushkar007/accelerometer,/hurricane-database
1,brjapon/cwru-bearing-datasets,mayukh18/deap-deciphering-environmental-air-pollution
2,shivamb/machine-predictive-maintenance-classification,shayanshahid997/parking-violations-issued-from-january-may-2024
3,aadharshviswanath/aircraft-sensor-and-engine-performance,alshival/nhtsa-complaints
4,abdelazizsami/predictive-maintenance-dataset,lbronchal/gold-and-silver-prices-dataset
5,behrad3d/nasa-cmaps,mrsimple07/energy-consumption-prediction
6,kunalnehete/condition-based-monitoring-cbm-in-marine-system,agirlcoding/all-space-missions-from-1957
7,thedevastator/improving-naval-vessel-condition-through-machine,aadharshviswanath/aircraft-sensor-and-engine-performance
8,umerrtx/machine-failure-prediction-using-sensor-data,rupakroy/lstm-datasets-multivariate-univariate
9,/aps-failure-at-scania-trucks-data-set,arnavsmayan/urban-mobility-dataset
