,semantic,contextual
0,dhruvildave/english-handwritten-characters-dataset,virtualdvid/oregon-wildlife
1,jessicali9530/celeba-dataset,srgiomanhes/stardew-valley-villagers-dataset
2,dataturks/face-detection-in-images,anand0427/cars93
3,kostastokis/simpsons-faces,niharika41298/yoga-poses-dataset
4,atulanandjha/lfwpeople,shanegerami/ai-vs-human-text
5,pierremegret/dialogue-lines-of-the-simpsons,shibumohapatra/icmr-data
6,stoicstatic/face-recognition-dataset,mdwaquarazam/microorganism-image-classification
7,alexattia/the-simpsons-characters-dataset,grafstor/simple-dialogs-for-chatbot
8,sachinpatel21/az-handwritten-alphabets-in-csv-format,prashant111/the-simpsons-dataset
9,brendanartley/cartoon-faces-googles-cartoon-set,alexattia/the-simpsons-characters-dataset
