,semantic,contextual
0,jboysen/african-conflicts,willianoliveiragibin/world-population-prospects-2024
1,ivanchvez/causes-of-death-our-world-in-data,runningwithrock/boston-marathon-qualifiers-dataset
2,iamsouravbanerjee/cause-of-deaths-around-the-world,sdolezel/black-friday
3,saurabhbadole/countries-in-conflict-dataset,ananthu017/california-wildfire-incidents-20132020
4,szamil/who-suicide-statistics,amananandcode/football-euro-cup-dataset
5,willianoliveiragibin/share-of-terrorism,agirlcoding/all-space-missions-from-1957
6,asaniczka/fatalities-in-the-israeli-palestinian-conflict,greeshmagirish/road-accidents-in-india-20142017
7,armitaraz/google-war-news,armitaraz/google-war-news
8,belayethossainds/cancer-and-deaths-dataset-19902019-globally,saurabhbadole/countries-in-conflict-dataset
9,willianoliveiragibin/fatalities-in-the-israeli-palestinian,priyanshusethi/happiness-classification-dataset
