,semantic,contextual
0,pranavsai98/predicting-employee-status,muhammadshahidazeem/customer-conversion-dataset-for-stuffmart-com
1,/employee-attrition-data,shivan118/hranalysis
2,jpmiller/employee-attrition-for-healthcare,winson13/heart-disease-dataset
3,ryanthomasallen/simulated-data-for-ml-paper,zeesolver/data-eng-salary-2024
4,fahadrehman07/hr-comma-sep-csv,shariful07/student-flexibility-in-online-learning
5,saurabhbadole/hr-employee-attrition,aryanrastogi7767/ecommerce-fraud-data
6,stealthtechnologies/employee-attrition-dataset,farhanmd29/position-salaries
7,raminhuseyn/hr-analytics-data-set,lainguyn123/employee-survey
8,mrsimple07/employee-attrition-data-prediction,mrsimple07/employee-attrition-data-prediction
9,pavan9065/predicting-employee-attrition,prakharjadaun/employee-data
