,semantic,contextual
0,akinniyiakinwande/nigerian-traffic-crashes-2020-2024,ashpalsingh1525/mcdonaldsdataset
1,oyekanmiolamilekan/nigeria-cities-data,petewojtczak/raw-transactional-data
2,toriqulstu/global-crude-petroleum-trade-1995-2021,thebumpkin/pink-floyd-all-the-tracks-with-spotify-data
3,sazidthe1/global-inflation-data,gyanprakashkushwaha/laptop-price-prediction-cleaned-dataset
4,alfredkondoro/u-s-economic-indicators-1974-2024,dimagigayanika/multi-brand-food-sales-prodution-data
5,sazidthe1/oil-production,thebumpkin/auto-insurance-claims-updated-to-2024
6,iamhardy/nigeria-inflation-rates,adeolaadesina/factors-affecting-children-anemia-level
7,akinniyiakinwande/nigeria-agri-econ-indicators-1950-2023,sudhanvahg/industrial-alarm-monitoring-dataset-2018-2024
8,muhammadroshaanriaz/oil-reserves-and-consumption-from-1995-to-2022,iamhardy/nigeria-inflation-rates
9,belayethossainds/global-inflation-dataset-212-country-19702022,/starbucks-menu
