,semantic,contextual
0,debeshjha1/kvasirseg,/sf-library-usage-data
1,usmanafzaal/strawberry-disease-detection-dataset,arunavakrchakraborty/covid19-twitter-dataset
2,lakshaymiddha/crack-segmentation-dataset,kk0105/allflowmeter-hikari2021
3,xavysp/biped,prognosticshse/preventive-to-predicitve-maintenance
4,ipateam/segmentation-of-nuclei-in-cryosectioned-he-images,jehanbhathena/tire-texture-image-recognition
5,santurini/semantic-segmentation-drone-dataset,matheusgratz/world-university-rankings-2021
6,mahdihabibi/segmented-peripheral-blood-cells-using-opencv,sandibaressiegota/robot-kinematics-dataset
7,jeetblahiri/bccd-dataset-with-mask,wjybuqi/traffic-light-detection-dataset
8,batuhanyil/electron-microscopy-particle-segmentation,alinedobrovsky/plant-disease-classification-merged-dataset
9,balraj98/berkeley-segmentation-dataset-500-bsds500,batuhanyil/electron-microscopy-particle-segmentation
