,semantic,contextual
0,nirmalsankalana/cassava-leaf-disease-classification,vishaldeoprasad/bangalore-rapido-ride-services-dataset
1,swastik2004/potato-leaf-diseases,zgnbyktanr/turkish-psychological-classification-for-nlp
2,alinedobrovsky/plant-disease-classification-merged-dataset,shivan118/hranalysis
3,sujallimje/plant-pathogens,gauravduttakiit/cassava-leaf-disease-classification
4,tushar5harma/plant-village-dataset-updated,muhammadroshaanriaz/cancer-dataset-risk-of-developing-or-dying
5,muhammad0subhan/fruit-and-vegetable-disease-healthy-vs-rotten,moazeldsokyx/plantvillage
6,moazeldsokyx/plantvillage,miguelh65/tomato-plant-disease-dataset
7,tahmidmir/pumpkin-leaf-diseases-dataset-from-bangladesh,zeesolver/uhygtttt
8,hafiznouman786/potato-plant-diseases-data,matthewjansen/pubmed-200k-rtc
9,loki4514/rice-leaf-diseases-detection,lara311/bee-detection-dataset
