,semantic,contextual
0,thebumpkin/led-zeppelin-album-tracks-with-spotify-data,thebumpkin/abba-studio-tracks-with-spotify-data
1,thebumpkin/moody-blues-album-tracks-with-spotify-data,thebumpkin/ska-tracks-with-spotify-data
2,thebumpkin/def-leppard-studio-tracks-with-spotify-data,thedevastator/spotify-tracks-genre-dataset
3,thebumpkin/elo-studio-tracks-with-spotify-data,thebumpkin/pink-floyd-all-the-tracks-with-spotify-data
4,thebumpkin/nitty-gritty-dirt-band-tracks-w-spotify-data,thebumpkin/500-folk-tracks-with-spotify-data
5,thebumpkin/scorpions-studio-tracks-with-spotify-data,thebumpkin/moody-blues-album-tracks-with-spotify-data
6,thebumpkin/simple-minds-studio-tracks-with-spotify-data,thebumpkin/journey-album-tracks-with-spotify-data
7,thebumpkin/nazareth-studio-tracks-with-spotify-data,thebumpkin/362-elton-john-album-tracks-with-spotify-data
8,thebumpkin/ozzy-osbourne-studio-tracks-with-spotify-data,thebumpkin/nazareth-studio-tracks-with-spotify-data
9,thebumpkin/duran-duran-studio-tracks-with-spotify-data,thebumpkin/elo-studio-tracks-with-spotify-data
