,semantic,contextual
0,slavkoprytula/aquarium-data-cots,asaniczka/video-game-sales-2024
1,kailaspsudheer/sarscope-unveiling-the-maritime-landscape,andrewmvd/us-schools-dataset
2,siddharthkumarsah/ships-in-aerial-images,iarunava/cell-images-for-detecting-malaria
3,andrewmvd/road-sign-detection,/population-time-series-data
4,andrewmvd/pothole-detection,andrewmvd/car-plate-detection
5,andrewmvd/car-plate-detection,andrewmvd/data-scientist-jobs
6,andrewmvd/helmet-detection,dhruvildave/spotify-charts
7,andrewmvd/tomato-detection,/sustainable-development-goals
8,andrewmvd/ship-detection,andrewmvd/ship-detection
9,rhammell/ships-in-satellite-imagery,mexwell/telegram-spam-or-ham
