,semantic,contextual
0,thebumpkin/green-day-studio-tracks-wtih-spotify-data,thedevastator/spotify-tracks-genre-dataset
1,thebumpkin/genesis-studio-tracks-with-spotify-data,victorsoeiro/amazon-prime-tv-shows-and-movies
2,thebumpkin/toto-studio-album-tracks-with-spotify-data,thebumpkin/224-fleetwood-mac-studio-tracks-w-spotify-data
3,thebumpkin/led-zeppelin-album-tracks-with-spotify-data,thebumpkin/abba-studio-tracks-with-spotify-data
4,thebumpkin/38-special-studio-tracks-with-spotify-data,thebumpkin/journey-album-tracks-with-spotify-data
5,thebumpkin/nitty-gritty-dirt-band-tracks-w-spotify-data,thebumpkin/2000s-classic-movies-with-tmdb-data
6,thebumpkin/224-fleetwood-mac-studio-tracks-w-spotify-data,thebumpkin/moody-blues-album-tracks-with-spotify-data
7,thebumpkin/169-rush-album-tracks-wiith-spotify-data,thebumpkin/america-studio-tracks-with-spotify-data
8,thebumpkin/journey-album-tracks-with-spotify-data,thebumpkin/nazareth-studio-tracks-with-spotify-data
9,thebumpkin/jethro-tull-studio-tracks-with-spotify-data,thebumpkin/elo-studio-tracks-with-spotify-data
