,semantic,contextual
0,himanshupoddar/zomato-bangalore-restaurants,anshtanwar/monthly-food-price-estimates
1,ahmedshahriarsakib/uber-eats-usa-restaurants-menus,hrdkcodes/wine-data
2,iamsouravbanerjee/top-50-fastfood-chains-in-usa,heitornunes/caffeine-content-of-drinks
3,mysarahmadbhat/pizza-place-sales,alyeasin/predict-pizza-price
4,shilongzhuang/pizza-sales,mrsimple07/clothes-price-prediction
5,nextmillionaire/pizza-sales-dataset,jacksondivakarr/laptop-price-prediction-dataset
6,umairhayat/pizza-data-set-order-detail,knightbearr/pizza-price-prediction-real-data
7,/pizza-restaurants-and-the-pizza-they-sell,nextmillionaire/pizza-sales-dataset
8,mexwell/pizza-sales,kiranbudati/mobile-prices-flipkart
9,knightbearr/pizza-price-prediction-real-data,iqmansingh/company-employee-dataset
