,semantic,contextual
0,amitanshjoshi/spotify-1million-tracks,prashant111/the-simpsons-dataset
1,rodolfofigueroa/spotify-12m-songs,johnharshith/hollywood-theatrical-market-synopsis-1995-to-2021
2,/taylor-swift-song-lyrics-from-all-the-albums,virtualdvid/oregon-wildlife
3,bwandowando/spotify-songs-with-attributes-and-lyrics,nadintamer/top-spotify-tracks-of-2018
4,juicobowley/drake-lyrics,albenft/game-of-thrones-script-all-seasons
5,mateibejan/multilingual-lyrics-for-genre-classification,hmendonca/efficientnet-pytorch
6,geomack/spotifyclassification,williamschooleman/scoobydoo-complete
7,neisse/scrapped-lyrics-from-6-genres,thebumpkin/1960s-forgotten-hits-with-spotify-data
8,leonardopena/top50spotify2019,shawkygamal/mnist-images
9,deepshah16/song-lyrics-dataset,deepshah16/song-lyrics-dataset
