,semantic,contextual
0,lislejoem/us_energy_census_gdp_10-14,ananthu017/california-wildfire-incidents-20132020
1,jeanmidev/smart-meters-in-london,/tree-census
2,csafrit2/steel-industry-energy-consumption,sahityasetu/new-york-city-air-quality
3,srinuti/residential-power-usage-3years-data-timeseries,jimschacko/airlines-dataset-to-predict-a-delay
4,manualrg/spanish-electricity-market-demand-gen-price,arashnic/building-sites-power-consumption-dataset
5,stefancomanita/hourly-electricity-consumption-and-production,willianoliveiragibin/diet-cricket-eggs
6,utathya/electricity-consumption,cagrigungor/ankara-pavyon-dataset
7,nicholasjhana/energy-consumption-generation-prices-and-weather,robikscube/hourly-energy-consumption
8,robikscube/hourly-energy-consumption,rutuspatel/walmart-dataset-retail
9,twinkle0705/state-wise-power-consumption-in-india,shayanshahid997/parking-violations-issued-from-january-may-2024
