,semantic,contextual
0,wspirat/germany-used-cars-dataset-2023,mbsoroush/cara-price-dataset
1,darshandhanke/preowned-car-resale-in-india2021,akshaydattatraykhare/car-details-dataset
2,kanchana1990/vehicle-dataset-2024,bhavikjikadara/car-price-prediction-dataset
3,manishkr1754/cardekho-used-car-data,divyansh22/us-border-crossing-data
4,ujjwalwadhwa/cars24com-used-cars-dataset,sukanto/crypto-etfs
5,andreinovikov/used-cars-dataset,peshimaammuzammil/2023-car-model-dataset-all-data-you-need
6,chancev/carsforsale,hsinha53/car-sales
7,doaaalsenani/usa-cers-dataset,manishkr1754/cardekho-used-car-data
8,antfarol/car-sale-advertisements,doaaalsenani/usa-cers-dataset
9,thedevastator/uncovering-factors-that-affect-used-car-prices,muhammadawaistayyab/used-cars-prices-in-uk
