,semantic,contextual
0,srinivas1/agricuture-crops-production-in-india,prathamjyotsingh/planets-dataset
1,suraj520/agricultural-data-for-rajasthan-india-2018-2019,atifmasih/climate-change-dataset2020-2024
2,siddharthss/crop-recommendation-dataset,divyeshardeshana/supply-chain-shipment-pricing-data
3,akshatgupta7/crop-yield-in-indian-states-dataset,thedevastator/the-relationship-between-crop-production-and-cli
4,bedynoag/district-wise-rainfall-of-india-1950-2010,nehaprabhavalkar/india-gis-data
5,mahendran1/weather-data-in-india-from-1901-to-2017,pavanreddy6/chennai-water-reservoirs
6,harinkl/rainfall-of-india,unmoved/frack-site-data
7,asishpandey/crop-production-in-india,asishpandey/crop-production-in-india
8,saincoder404/crop-yield-data-india,mrsimple07/energy-consumption-prediction
9,michaeldsouza16/crop-production-dataset-india,datascientist97/astronomical-data
