,semantic,contextual
0,soheiltehranipour/it-customer-churn,mchirico/cheltenham-s-facebook-group
1,krantiswalke/bank-personal-loan-modelling,fariskar/pregnancy-dataset
2,gauravtopre/bank-customer-churn-dataset,rcratos/diabetes-risk-prediction
3,thedevastator/predicting-credit-card-customer-attrition-with-m,ylchang/telco-customer-churn-1113
4,johnflag/jb-link-telco-customer-churn,abhi8923shriv/liver-disease-patient-dataset
5,mnassrib/telecom-churn-datasets,saurav9786/indian-premier-league-match-analysis
6,whenamancodes/credit-card-customers-prediction,hassanamin/customer-churn
7,sakshigoyal7/credit-card-customers,karthickveerakumar/spam-filter
8,hassanamin/customer-churn,wwwwwee/dehaze
9,blastchar/telco-customer-churn,kkhandekar/calories-in-food-items-per-100-grams
