,semantic,contextual
0,dillonmyrick/bike-store-sample-database,manishkr1754/cardekho-used-car-data
1,abhijitdahatonde/27000-indian-restaurant-dataset,praveenchoudhary1217/electric-vehicle-sales-in-india
2,kapturovalexander/online-shop-2023,hrdkcodes/wine-data
3,prasoonkottarathil/gananime-lite,sarthakkapaliya/amazon-product-length-prediction-dataset
4,alsaniipe/flowerdatasets,yudhaislamisulistya/plants-type-datasets
5,martatavares/classicmodels,hsinha53/car-sales
6,kapturovalexander/credit-classification-for-banks,jacksondivakarr/laptop-price-prediction-dataset
7,awsaf49/coco-2017-dataset,waqi786/worldwide-coffee-habits-dataset
8,muhammadkhalid/sign-language-for-numbers,karolkrusznyski/loczek-ecommers-hair-shop-products
9,karolkrusznyski/loczek-ecommers-hair-shop-products,anshtanwar/monthly-food-price-estimates
