,semantic,contextual
0,shivamb/fashion-clothing-products-catalog,hrdkcodes/wine-data
1,priyankkhanna/flipkart-product-dataset-by-priyank-khanna,yiyiwang0826/cocacola-excel
2,fahmidachowdhury/e-commerce-sales-analysis,yudhaislamisulistya/plants-type-datasets
3,kanchana1990/perfume-e-commerce-dataset-2024,/health-insurance
4,mrmars1010/flipkart-product-datalaptops,datascientist97/screen-time-app-details
5,trainingdatapro/shein-e-commerce-dataset,ishanp923/laptops-dataset
6,ahmedgaitani/comprehensive-clothes-price-dataset,promptcloud/myntra-e-commerce-product-data-october-2023
7,ronakbokaria/myntra-products-dataset,divyeshardeshana/supply-chain-shipment-pricing-data
8,promptcloud/myntra-e-commerce-product-data-october-2023,praveenchoudhary1217/electric-vehicle-sales-in-india
9,abhinavtyagi2708/zara-dataset-men-and-women-clothing,alessandrolobello/the-ultimate-film-statistics-dataset-for-ml
