,semantic,contextual
0,bharadwaj6/kindle-reviews,agrigorev/clothing-dataset-full
1,marlesson/myanimelist-dataset-animes-profiles-reviews,omartorres25/honda-data
2,zhangjuefei/death-metal,laurentmih/aisegmentcom-matting-human-datasets
3,darshan1504/imdb-movie-reviews-2021,lakshyaag/india-trade-data
4,mohamedbakhet/amazon-books-reviews,rishabhiitbhu/pretrainedmodels
5,stefanoleone992/rotten-tomatoes-movies-and-critic-reviews-dataset,gauthamp10/google-playstore-apps
6,garymk/movielens-25m-dataset,carlmcbrideellis/tertiary-mushroom-1-million-more-mushrooms
7,nolanbconaway/pitchfork-data,rikdifos/english-and-chinese-stopwords
8,michaelbryantds/78k-music-album-reviews,hereisburak/pins-face-recognition
9,rogate16/amazon-reviews-2018-full-dataset,michaelbryantds/78k-music-album-reviews
