,semantic,contextual
0,durgeshrao9993/heart-attack-analysis-data,chitholian/annotated-potholes-dataset
1,waqi786/medical-costs,muhammadfaizan65/hospital-infections-dataset
2,khan1803115/hypertension-risk-model-main,datascientist97/astronomical-data
3,fatemehmehrparvar/obesity-levels,haseebindata/student-performance-predictions
4,lesumitkumarroy/obesity-data-set,dinachanthan/student-exam-dataset-with-issues
5,ehababoelnaga/diabetes-dataset,prajwalkanade/student-performance-prediction-dataset
6,iammustafatz/diabetes-prediction-dataset,aakashjoshi123/exercise-and-fitness-metrics-dataset
7,kapoorprakhar/cardio-health-risk-assessment-dataset,dipuiucse/monkeypoxskinimagedataset
8,mrsimple07/obesity-prediction,mh0386/facial-emotion
9,waqi786/heart-attack-dataset,mrsimple07/obesity-prediction
