,semantic,contextual
0,mitul1999/online-courses-usage-and-history-dataset,kkhandekar/cheapest-electric-cars
1,/course-study,duttadebadri/image-classification
2,neomatrix369/learning-path-index-dataset,abhijitdahatonde/swiggy-restuarant-dataset
3,aloktantrik/dataset-of-1200-coursera-courses,econdata/climate-change
4,anlgrbz/student-demographics-online-education-dataoulad,veeralakrishna/150k-python-dataset
5,siddharthm1698/coursera-course-dataset,abhishekinnvonix/seizure-epilepcy-chb-mit-eeg-dataset-pediatric
6,tianyimasf/coursera-course-dataset,ramiromelo/10000-words
7,rocki37/open-university-learning-analytics-dataset,joebeachcapital/qs-world-university-rankings-2024
8,khusheekapoor/edx-courses-dataset-2021,seshadrikolluri/ansur-ii
9,imuhammad/course-reviews-on-coursera,/course-study
