,semantic,contextual
0,uwrfkaggler/ravdess-emotional-speech-audio,shariful07/student-flexibility-in-online-learning
1,uldisvalainis/audio-emotions,moradrawashdeh/attack-simulation-lab
2,mansourehk/shemo-persian-speech-emotion-detection-database,ttungl/adience-benchmark-gender-and-age-classification
3,uwrfkaggler/ravdess-emotional-song-audio,mh0386/facial-emotion
4,ejlok1/surrey-audiovisual-expressed-emotion-savee,sdaiancai/saudilang-code-switch-corpus-scc
5,tapakah68/emotions-on-audio-dataset,theodaimones888/russian-anime-reviews-dataset
6,tapakah68/facial-emotion-recognition,manavgupta92/from-data-entry-to-ceo-the-ai-job-threat-index
7,piyushagni5/berlin-database-of-emotional-speech-emodb,tapakah68/emotions-on-audio-dataset
8,dmitrybabko/speech-emotion-recognition-en,trainingdatapro/ocr-receipts-text-detection
9,ejlok1/toronto-emotional-speech-set-tess,trainingdatapro/printout
