,semantic,contextual
0,nihalbarua/dota2-competitive-picks,dansbecker/hot-dog-not-hot-dog
1,smvjkk/league-of-legends-lec-summer-season-2024-stats,ryanholbrook/dl-course-data
2,devinanzelmo/dota-2-matches,bhanupratapbiswas/inventory-analysis-case-study
3,xvivancos/michael-jordan-kobe-bryant-and-lebron-james-stats,anirudhg15/mammals-classification
4,visualize25/valorant-pro-matches-full-data,jackdaoud/esports-earnings-for-players-teams-by-game
5,bobbyscience/league-of-legends-diamond-ranked-games-10-min,yapwh1208/supermarket-sales-data
6,skihikingkevin/csgo-matchmaking-damage,alexryzhkov/amexaggdatapicklef32
7,rankirsh/esports-earnings,d4rklucif3r/cat-and-dogs
8,jackdaoud/esports-earnings-for-players-teams-by-game,carlmcbrideellis/llm-7-prompt-training-dataset
9,evangower/valorant-esports-top-earnings,thedrcat/daigt-v3-train-dataset
