,semantic,contextual
0,sharansmenon/animals141,rupakroy/cyclone-wildfire-flood-earthquake-database
1,veeralakrishna/butterfly-dataset,/sustainable-development-goals
2,pnkjgpt/butterfly-classification-dataset,/population-time-series-data
3,vencerlanz09/insect-village-synthetic-dataset,szamil/who-suicide-statistics
4,maysee/mushrooms-classification-common-genuss-images,giseilee/cyclistic-marketing-analytics
5,iamsouravbanerjee/animal-image-dataset-90-different-animals,hammaadali/insects-recognition
6,mistag/arthropod-taxonomy-orders-object-detection-testset,pdaasha/ga4-obfuscated-sample-ecommerce-jan2021
7,daniilonishchenko/mushrooms-images-classification-215,sugataghosh/google-word2vec
8,hammaadali/insects-recognition,mexwell/telegram-spam-or-ham
9,mistag/arthropod-taxonomy-orders-object-detection-dataset,duttadebadri/image-classification
