,semantic,contextual
0,coplin/traffic,ashishraut64/internet-users
1,cubeai/fire-and-smoke-detection-for-yolov8,zikazika/crimes-un-datacsv
2,serenaraju/yawn-eye-dataset-new,xhlulu/efficientnet-keras-source-code
3,kiranmahesh/nslkdd,ttungl/adience-benchmark-gender-and-age-classification
4,heidarmirhajisadati/ai-fraud-detection-in-auditing,amansingh0000000/image-classification-and-yolo-dataset
5,navoneel/brain-mri-images-for-brain-tumor-detection,winson13/heart-disease-dataset
6,remekkinas/rsna-breast-cancer-detection-poi-images,atulmittal199174/bigbazaar-sales-data
7,thtuan/mvtecad-mvtec-anomaly-detection,thtuan/mvtecad-mvtec-anomaly-detection
8,rishitdagli/anomaly-detection-sample-dataset,sahityasetu/best-snapchat-discover-stories
9,vaillant/rsna-str-pe-detection-jpeg-256,nitinsss/fashion-dataset-with-over-15000-labelled-images
