,semantic,contextual
0,acothaha/epl-dataset-20222023-update-every-week,armanmanteghi/interactive-web-based-calculator-application
1,technika148/football-database,tobiasbueck/multilingual-customer-support-tickets
2,prateekchauhands/football-data-top-5-european-leagues,yutanakamura/glove42b300dtxt
3,rishikeshkanabar/premier-league-player-statistics-updated-daily,nezahatkk/10-000-english-words-cerf-labelled
4,slehkyi/extended-football-stats-for-european-leagues-xg,arkadiuszkaros/soccer-data-of-teams-players-and-shots-2018-2023
5,khanghunhnguyntrng/football-players-transfer-fee-prediction-dataset,isakatsuyoshi/llm-20-questions-overall-rankings-vs-scores
6,tientr/premier-league-advance-stats,stefanoleone992/ea-sports-fc-24-complete-player-dataset
7,mohamedhanyyy/top-football-leagues-scorers,carlfm01/120h-spanish-speech
8,arkadiuszkaros/soccer-data-of-teams-players-and-shots-2018-2023,jessicali9530/kuc-hackathon-winter-2018
9,mamounkabbaj/2023-2024-big-5-european-soccer-player-statistics,ahmedtronic/german-credit
