,semantic,contextual
0,abhisheksjha/time-series-air-quality-data-of-india-2010-2023,arunjangir245/delhi-metro-dataset
1,nayanack/water-probability,sahityasetu/new-york-city-air-quality
2,uom190346a/water-quality-and-potability,pankajkumar2002/random-image-sample-dataset
3,atifmasih/ozone-concentration-levels-in-castnet-dataset,arashnic/building-sites-power-consumption-dataset
4,atifmasih/environmental-monitoring-data-for-multiple-sites,victorahaji/worlds-air-quality-and-water-pollution-dataset
5,melissamonfared/organic-carbon-and-dissolved-organic-carbon,schirmerchad/bostonhoustingmlnd
6,shreyanshverma27/water-quality-testing,warcoder/earthquake-dataset
7,shashanks1202/water-quality-data,adarshrouniyar/air-pollution-image-dataset-from-india-and-nepal
8,supriyoain/water-quality-data,sukhmandeepsinghbrar/water-quality
9,sukhmandeepsinghbrar/water-quality,stealthtechnologies/earthquakes-dataset
