,semantic,contextual
0,thedevastator/1-5-million-beer-reviews-from-beer-advocate,thedevastator/adidas-fashion-retail-products-dataset-9300-prod
1,joebeachcapital/chocolate-ratings,sgus1318/winedata
2,michals22/coffee-dataset,xhlulu/vitpytorch
3,umerhaddii/the-great-american-coffee-taste-test-dataset,sukhmandeepsinghbrar/most-subscribed-youtube-channel
4,joebeachcapital/coffee-taste-test,laurentmih/aisegmentcom-matting-human-datasets
5,gpiosenka/coffee-bean-dataset-resized-224-x-224,yapwh1208/supermarket-sales-data
6,fatihb/coffee-quality-data-cqi,bhavikjikadara/car-price-prediction-dataset
7,volpatto/coffee-quality-database-from-cqi,ekibee/car-sales-information
8,ankurchavda/coffee-beans-reviews-by-coffee-quality-institute,akshaydattatraykhare/car-details-dataset
9,schmoyote/coffee-reviews-dataset,volpatto/coffee-quality-database-from-cqi
