,semantic,contextual
0,thedevastator/airbnb-prices-in-european-cities,arunavakrchakraborty/covid19-twitter-dataset
1,arianazmoudeh/airbnbopendata,drahulsingh/largest-banks
2,dgomonov/new-york-city-airbnb-open-data,abhayayare/stock-prediction-dataset
3,jojoker/singapore-airbnb,/boston
4,meetnagadia/bitcoin-stock-data-sept-17-2014-august-24-2021,chrico03/art-garfunkels-library
5,ahmedshahriarsakib/usa-real-estate-dataset,schirmerchad/bostonhoustingmlnd
6,kritikseth/us-airbnb-open-data,swsw1717/seatle-airbnb-open-data-sql-project
7,allanbruno/airbnb-rio-de-janeiro,goelyash/disney-hotstar-tv-and-movie-catalog
8,mojtaba142/hotel-booking,joebeachcapital/airbnb
9,/boston,jojoker/singapore-airbnb
