,semantic,contextual
0,darshandhanke/preowned-car-resale-in-india2021,wajahat1064/hospital-inpatient-cost-data-by-new-york-state
1,ananaymital/us-used-cars-dataset,/sustainable-development-goals
2,kreeshrajani/used-car-price-dataset,asefjamilajwad/car-crash-dataset-ccd
3,omartorres25/honda-data,xhlulu/efficientnet-keras-source-code
4,prondeau/the-car-connection-picture-dataset,gauthamp10/google-playstore-apps
5,ander289386/cars-germany,foolishboi/alpr-character-train
6,ujjwalwadhwa/cars24com-used-cars-dataset,madhucharan/alzheimersdisease5classdatasetadni
7,owaiskhan9654/uae-car-used-dataset,aamirrazamari/pakistan-stock-exchange-datasets
8,austinreese/craigslist-carstrucks-data,omartorres25/honda-data
9,thedevastator/uncovering-factors-that-affect-used-car-prices,rikdifos/english-and-chinese-stopwords
