,semantic,contextual
0,itachi9604/disease-symptom-description-dataset,prasad22/pmc-hospital-infrastructure
1,meirnizri/covid19-dataset,arunjangir245/delhi-metro-dataset
2,prasad22/pmc-hospital-infrastructure,mitangshu11/brain-stroke-mri-images
3,einsteindata4u/covid19,/covid19
4,nehaprabhavalkar/av-healthcare-analytics-ii,reserachauto/human-behaviour-based-on-physiological-data
5,vetrirah/av-healthcare2,muhammadfaizan65/hospital-infections-dataset
6,sureshmecad/supplement-sales-prediction,jonasalmeida/2015-deidentified-ny-inpatient-discharge-sparcs
7,/covid19,nehaprabhavalkar/av-healthcare-analytics-ii
8,aayushchou/hospital-length-of-stay-dataset-microsoft,kinguistics/heartbeat-sounds
9,abdelazizsami/diabetes-130-us-hospitals-for-years-1999-2008,rabieelkharoua/chronic-kidney-disease-dataset-analysis
