,semantic,contextual
0,deathtrooper/multichannel-glaucoma-benchmark-dataset,andrewmvd/ship-detection
1,/messidor2-dr-grades,greg115/celebrities-100k
2,sovitrath/diabetic-retinopathy-224x224-2019-data,imdevskp/hiv-aids-dataset
3,sohaibanwaar1203/prepossessed-arrays-of-binary-data,szamil/who-suicide-statistics
4,sovitrath/diabetic-retinopathy-224x224-gaussian-filtered,andrewmvd/car-plate-detection
5,rakhshandamujib/armd-curated-dataset-2023,andrewmvd/divorce-prediction
6,paultimothymooney/kermany2018,andrewmvd/retinal-disease-classification
7,deathtrooper/eyepacs-airogs-light,andrewmvd/us-schools-dataset
8,andrewmvd/retinal-disease-classification,andrewmvd/data-scientist-jobs
9,sovitrath/diabetic-retinopathy-2015-data-colored-resized,andrewmvd/leukemia-classification
