,semantic,contextual
0,mitul1999/student-academic-success-and-demographics-dataset,spscientist/students-performance-in-exams
1,atifmasih/factors-affecting-university-student-grades,devildyno/computer-science-students-career-prediction
2,nasirayub2/australian-student-performancedata-aspd24,abdullahshf/neet-ug-2024-results-all-india
3,jacksondivakarr/student-classification-dataset,prajwalkanade/student-performance-prediction-dataset
4,mrigaankjaswal/student-performance-in-mathematics-and-portuguese,dinachanthan/student-exam-dataset-with-issues
5,rabieelkharoua/students-performance-dataset,atifmasih/factors-affecting-university-student-grades
6,waqi786/student-performance-dataset,haseebindata/student-performance-predictions
7,prajwalkanade/student-performance-prediction-dataset,himanshunakrani/student-study-hours
8,lainguyn123/student-performance-factors,naveenkumar20bps1137/predict-students-dropout-and-academic-success
9,haseebindata/student-performance-predictions,susanta21/student-attitude-and-behavior
