,semantic,contextual
0,colearninglounge/employee-attrition,shrutimechlearn/churn-modelling
1,fahadrehman07/hr-comma-sep-csv,mohammadkaiftahir/madhav-store-dataset
2,mfaisalqureshi/hr-analytics-and-job-prediction,blessondensil294/topic-modeling-for-research-articles
3,mohamedharris/employee-satisfaction-index-dataset,bhanupratapbiswas/weather-data
4,/employee-attrition-data,joebeachcapital/airbnb
5,davidepolizzi/hr-data-set-based-on-human-resources-data-set,muhammadfaizan65/hospital-infections-dataset
6,/absenteeism-dataset,/absenteeism-dataset
7,thedevastator/employee-attrition-and-factors,ramoliyafenil/text-based-cyber-threat-detection
8,rhuebner/human-resources-data-set,radheshyamkollipara/bank-customer-churn
9,saadharoon27/hr-analytics-dataset,iamsouravbanerjee/data-science-salaries-2023
