,semantic,contextual
0,devdgohil/the-oxfordiiit-pet-dataset,joebeachcapital/amazon-books
1,sautkin/imagenet1k2,hasnainkhan0123/binary-image-classification
2,nikhil7280/coco-image-caption,pevogam/ucf101
3,borhanitrash/cat-dataset,prathamgrover/fake-news-prediction
4,sabahesaraki/2017-2017,vivovinco/league-of-legends-champion-stats
5,veeralakrishna/200-bird-species-with-11788-images,mihelic/cyclistic
6,jessicali9530/caltech256,shaz13/real-world-documents-collections
7,jeffaudi/coco-2014-dataset-for-yolov3,d4rklucif3r/cat-and-dogs
8,asad11914/coco-2017-keypoints,wenewone/cub2002011
9,wenewone/cub2002011,isakatsuyoshi/llm-20-questions-wikipedia-context
