,semantic,contextual
0,prasannakm/car-crash-dataset,norc/general-social-survey
1,tsiaras/uk-road-safety-accidents-and-vehicles,divyeshardeshana/supply-chain-shipment-pricing-data
2,/pipeline-accidents,mehmetisik/livestock-anaerobic-digester-database
3,ruqaiyaship/osha-accident-and-injury-data-1517,iamsouravbanerjee/data-science-salaries-2023
4,claytonmiller/construction-and-project-management-example-data,abbabiavati/bcorp-vs-non-b-corps-employee-reviews
5,silicon99/dft-accident-data,shayanshahid997/parking-violations-issued-from-january-may-2024
6,benoit72/uk-accidents-10-years-history-with-many-variables,ruqaiyaship/osha-accident-and-injury-data-1517
7,/industrial-safety-and-health-analytics-database,waseemalastal/sentiment-for-financial-news-dataset
8,devansodariya/road-accident-united-kingdom-uk-dataset,paultimothymooney/breast-histopathology-images
9,snehilsanyal/construction-site-safety-image-dataset-roboflow,divyansh22/us-border-crossing-data
